사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-08,2호선,45,문래,22,1,"3,255","1,658","11,300","9,129","35,648","30,330","37,755","104,957","21,632","49,971","15,983","19,704","15,660","16,097","17,314","16,785","17,538","18,731","18,465","17,682","19,591","17,803","24,518","19,839","43,672","26,264","89,474","45,471","33,774","33,579","21,507","18,232","20,838","15,663","16,295","13,994","6,606","8,096",3,483,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,46,영등포구청,34,1,"5,155","2,676","11,298","11,145","35,210","32,295","39,491","105,616","25,158","46,640","18,839","23,525","19,540","20,089","20,872","19,888","21,839","22,277","22,797","20,539","24,165","21,180","28,316","22,221","45,688","28,528","93,168","45,888","33,150","32,316","22,760","18,891","21,008","16,817","15,188","15,466","5,826","10,584",2,590,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,47,당산,71,2,"5,982","3,081","14,634","11,475","39,422","24,942","46,156","70,550","27,879","32,864","18,302","17,336","17,463","15,019","17,750","16,633","18,580","18,277","17,719","17,877","17,920","19,644","20,937","23,736","34,559","35,786","55,300","62,069","25,310","43,700","18,123","27,069","17,527","24,392","15,448","21,706","6,125","15,336",1,444,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,48,합정,69,2,"7,304","2,559","15,519","13,241","37,528","29,680","46,647","81,714","31,338","63,471","21,948","38,113","23,044","34,676","27,180","39,605","30,019","43,358","31,678","40,442","34,052","38,667","39,696","43,776","57,322","58,601","95,865","87,339","60,541","62,746","45,598","32,878","50,878","26,353","49,466","22,185","20,911","16,747",7,692,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,49,홍대입구,594,12,"16,863","3,577","22,529","14,345","51,958","27,470","62,817","85,059","42,309","93,414","31,623","64,700","38,476","71,394","47,361","89,933","54,157","101,504","56,571","97,285","65,830","96,062","81,152","96,569","105,280","113,837","135,122","150,617","106,094","110,891","97,494","58,493","113,933","43,014","118,492","36,618","48,193","27,264",244,"4,434",4,4,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,50,신촌,43,6,"6,292","2,479","11,919","14,267","28,519","30,027","38,465","68,507","28,073","83,609","27,435","50,680","33,362","47,371","41,709","51,905","43,304","60,225","45,136","51,892","51,380","47,685","61,246","48,468","76,886","61,908","80,344","88,030","56,834","61,025","56,998","31,381","57,157","25,109","60,337","21,933","22,562","16,255",7,45,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,51,이대,43,1,"2,500","1,499","5,836","10,384","16,261","9,230","21,392","26,938","13,668","23,478","10,255","17,718","11,274","14,877","14,897","16,472","16,041","18,291","14,869","16,955","16,934","15,589","22,094","16,026","30,869","19,096","27,601","26,141","16,990","19,821","13,779","11,547","13,383","10,372","11,028","10,272","3,315","7,935",0,19,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,52,아현,14,0,"4,138","1,075","9,099","6,251","22,412","8,771","28,676","17,024","18,093","11,030","12,471","7,913","11,803","7,800","12,603","8,877","12,233","9,862","12,042","10,557","13,678","11,445","14,777","12,770","15,712","17,097","16,469","25,752","9,959","20,291","6,818","12,704","5,326","12,170","3,532","10,958","1,395","7,014",4,20,2,1,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,53,충정로(경기대입구),15,0,"2,822",778,"5,773","5,124","12,923","16,557","18,339","50,700","11,887","24,861","9,171","10,751","9,957","8,286","9,739","7,842","9,956","9,350","10,421","8,553","11,140","9,301","12,449","10,065","20,608","12,283","42,565","18,281","14,254","13,204","8,698","8,695","7,577","7,896","5,542","7,422","1,861","5,227",9,159,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,54,용답,30,0,"2,236",210,"2,988",785,"6,273","1,447","10,842","2,466","5,133","1,722","3,416","1,569","2,923","1,954","3,154","2,281","3,430","2,457","3,072","2,613","2,948","3,533","3,392","4,192","3,423","5,040","3,237","8,862","1,974","6,223","1,326","3,841","1,086","4,283",873,"3,983",337,"2,540",0,2,0,0,0,0,0,0,2020-09-03 12:26:43
